Time,link_id,Interval,PowerTLTMmin,PowerTLTMmax,PowerRLTMmin,PowerRLTMmax
2015-01-07 19:30:00,a409-b063,15,16,17,-75.6,-59.6
2015-01-07 19:45:00,a409-b063,15,16,17,-63.4,-55.5
2015-01-07 20:00:00,a409-b063,15,16,17,-72.8,-58.4
2015-01-07 20:15:00,a409-b063,15,16,17,-73.1,-55.5
2015-01-07 20:30:00,a409-b063,15,16,17,-59.0,-54.9
2015-01-07 20:45:00,a409-b063,15,16,17,-80.3,-57.1
2015-01-07 21:00:00,a409-b063,15,16,17,-81.9,-68.1
2015-01-07 21:15:00,a409-b063,15,16,17,-79.4,-61.8
2015-01-07 21:30:00,a409-b063,15,16,17,-69.6,-59.9
2015-01-07 21:45:00,a409-b063,15,16,17,-67.8,-59.9
2015-01-07 22:00:00,a409-b063,15,16,17,-75.3,-62.7
2015-01-07 22:15:00,a409-b063,15,16,17,-78.1,-60.2
2015-01-11 00:15:00,a409-b063,15,11,13,-45.8,-45.2
2015-01-11 00:15:00,a409-b063,15,11,13,-45.8,-45.2
2015-01-11 00:30:00,a409-b063,15,12,15,-46.1,-45.2
2015-01-11 00:45:00,a409-b063,15,13,17,-48.0,-45.2
2015-01-11 01:00:00,a409-b063,15,16,17,-55.5,-45.8
2015-01-11 01:15:00,a409-b063,15,16,17,-57.4,-52.1
2015-01-11 01:30:00,a409-b063,15,16,17,-57.4,-52.4
2015-01-11 01:45:00,a409-b063,15,16,17,-64.9,-54.3
2015-01-11 02:00:00,a409-b063,15,16,17,-80.9,-61.8
2015-01-11 02:15:00,a409-b063,15,16,17,-75.3,-64.9
2015-01-11 11:30:00,a409-b063,15,9,11,-45.8,-45.2
2015-01-11 11:45:00,a409-b063,15,9,11,-45.8,-45.2
2015-01-11 12:00:00,a409-b063,15,9,10,-45.8,-45.2
2015-01-11 12:15:00,a409-b063,15,8,10,-45.8,-45.2
2015-01-11 12:30:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-11 12:45:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-11 13:00:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-11 13:15:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-11 13:30:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-11 13:45:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-11 14:00:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-11 14:15:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-11 14:30:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-11 14:45:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-11 15:00:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-11 15:15:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 09:15:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 09:30:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 09:45:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 10:00:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 10:15:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 10:30:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 10:45:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 11:00:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 11:15:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 11:30:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 11:45:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 12:00:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 12:15:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 12:30:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 12:45:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 13:00:00,a409-b063,15,8,9,-45.8,-45.2
2015-01-14 13:15:00,a409-b063,15,8,9,-45.8,-45.2
